id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote_eur_price,quote_eur_volume_24h,quote_eur_volume_change_24h,quote_eur_percent_change_1h,quote_eur_percent_change_24h,quote_eur_percent_change_7d,quote_eur_percent_change_30d,quote_eur_percent_change_60d,quote_eur_percent_change_90d,quote_eur_market_cap,quote_eur_market_cap_dominance,quote_eur_fully_diluted_market_cap,quote_eur_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
9903,Convex Finance,CVX,convex-finance,80,2021-05-18T00:00:00Z,"[""defi"",""yield-aggregator""]",100000000,47985013.528617,82662446.99569073,,75,2814665,65608771.62897609,2022-01-28T19:17:00Z,20.9122955283314,26694994.785253845,110.9038,-1.22562507,-10.00801712,-32.67191586,-50.59090905,-14.14599677,-18.8257102,1003476783.841419,0.0669,2091229552.8367655,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
1274,Waves,WAVES,waves,157,2016-06-02T00:00:00Z,"[""lpos"",""platform"",""smart-contracts""]",,107344996,107344996,,76,,,2022-01-28T19:17:00Z,8.893053591000976,119769108.13520403,-40.1233,-0.77976985,-0.01194418,-15.88439403,-31.81945122,-52.90690882,-62.95549276,954624802.1537853,0.0637,954624802.1537049,2022-01-28T19:18:02Z,,,,,
7653,Oasis Network,ROSE,oasis-network,41,2020-11-12T00:00:00Z,"[""cosmos-ecosystem"",""collectibles-nfts"",""defi"",""privacy"",""scaling"",""smart-contracts"",""polychain-capital-portfolio"",""binance-labs-portfolio"",""arrington-xrp-capital-portfolio"",""blockchain-capital-portfolio"",""dragonfly-capital-portfolio"",""electric-capital-portfolio"",""kenetic-capital-portfolio"",""huobi-capital-portfolio"",""a16z-portfolio"",""winklevoss-capital-portfolio"",""pantera-capital-portfolio""]",10000000000,3493014306.28,10000000000,,77,,,2022-01-28T19:17:00Z,0.2700562980877502,157341719.29725194,-29.4981,-0.7297283,-3.82966774,-24.41574758,-21.20450024,-9.46227491,58.22253597,943310512.7215278,0.0629,2700562980.8781276,2022-01-28T19:18:02Z,,,,,
4066,Chiliz,CHZ,chiliz,223,2019-07-01T00:00:00Z,"[""sports"",""collectibles-nfts"",""content-creation"",""payments""]",8888888888,5955069766.354118,8888888888,,78,,,2022-01-28T19:17:00Z,0.15777734890520978,116491628.3415429,-29.3474,0.01819728,-0.41407653,-19.62372216,-40.0682076,-62.25246699,-55.95091965,939575120.2809198,0.0627,1402465323.461707,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af
5632,Arweave,AR,arweave,46,2020-05-27T00:00:00Z,"[""distributed-computing"",""filesharing"",""storage"",""coinbase-ventures-portfolio"",""solana-ecosystem"",""arrington-xrp-capital-portfolio"",""blockchain-capital-portfolio"",""a16z-portfolio"",""multicoin-capital-portfolio"",""web3""]",66000000,33394701,63190435,,79,,,2022-01-28T19:17:00Z,27.432756546812648,24135210.3480127,-31.5316,-1.04999837,-0.54754444,-20.50549609,-45.66666211,-48.45512035,-39.50742874,916108702.4866009,0.0611,1810561932.0870879,2022-01-28T19:18:02Z,,,,,
2694,Nexo,NEXO,nexo,56,2018-05-01T00:00:00Z,"[""services"",""payments"",""cardano-ecosystem""]",1000000000,560000011,1000000000,,80,,,2022-01-28T19:17:00Z,1.5915855860259767,6965367.876474338,-21.5713,-1.42090332,-0.80799194,-15.22495023,-24.15290592,-31.58346106,-35.11337229,891287945.6819884,0.0594,1591585586.0221162,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
131,Dash,DASH,dash,325,2014-02-14T00:00:00Z,"[""mineable"",""hybrid-pow-pos"",""x11"",""medium-of-exchange"",""masternodes"",""dao"",""governance""]",18900000,10553710.54438895,10553710.54438895,,81,,,2022-01-28T19:17:00Z,83.54365999578545,162878450.5111328,-7.5568,-0.21470895,-0.71975905,-21.31081907,-30.54174098,-48.91816217,-49.54370705,881695605.4143662,0.0588,1578975173.9198394,2022-01-28T19:18:02Z,,,,,
8677,Symbol,XYM,symbol,34,2021-03-03T00:00:00Z,[],8999999999,5582460004.558402,7967988929.50477,,82,,,2022-01-28T19:17:00Z,0.15208371761935705,8497776.734114982,25.1537,-0.22545436,7.27851905,-2.29448919,-17.71517481,-51.55676648,-53.77569733,849001270.9546146,0.0566,1368753458.4224029,2022-01-28T19:18:02Z,,,,,
3330,Pax Dollar,USDP,paxos-standard,37,2018-09-27T00:00:00Z,"[""store-of-value"",""stablecoin"",""asset-backed-stablecoin"",""binance-smart-chain""]",,945642940.11,945642940.11,,83,,,2022-01-28T19:17:00Z,0.895935583948823,14381729.538346492,28.3826,-0.35305244,-0.6538408,-1.68336701,-0.16306841,-0.07527412,-0.1938487,847235159.7545347,0.0565,847235159.7528626,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x8e870d67f660d95d5be530380d0ec0bd388289e1
5647,Kadena,KDA,kadena,16,2020-05-31T00:00:00Z,"[""mineable"",""pow"",""blake2s"",""platform"",""cosmos-ecosystem"",""smart-contracts"",""coinfund-portfolio"",""multicoin-capital-portfolio""]",1000000000,167816065.8932,1000000000,,84,167816065.8932,938665469.124958,2022-01-28T19:17:00Z,5.018152088953173,27413701.271484967,-56.4333,-0.22454921,-3.544034,-13.04760039,-56.61045036,-67.3623468,-8.37417992,842126541.621865,0.0562,5018152088.951338,2022-01-28T19:18:02Z,,,,,
3822,Theta Fuel,TFUEL,theta-fuel,28,2019-03-28T00:00:00Z,"[""media"",""content-creation"",""payments""]",,5301214400,5301214400,,85,,,2022-01-28T19:17:00Z,0.1539605162276892,84159534.37627602,-54.7304,-0.20031745,-3.78473391,2.09762116,-13.27698335,-43.26022081,-54.19813535,816177705.6576596,0.0544,816177705.6548216,2022-01-28T19:18:02Z,,,,,
